population,duration,forecast,R0,incubation-time,recovery-time,infer,num-samples,num-bins,warmup-steps,max-tree-depth,svi-steps
1000,20,10,3,2,4,mcmc,1000,1,400,5
1000,20,10,3,2,4,mcmc,1000,1,400,6
1000,20,10,3,2,4,mcmc,1000,2,400,5
1000,20,10,3,2,4,mcmc,1000,2,400,6
1000,20,10,3,2,4,mcmc,1000,4,400,5
1000,20,10,3,2,4,mcmc,1000,4,400,6
1000,20,10,3,2,4,mcmc,2000,1,800,5
1000,20,10,3,2,4,mcmc,2000,2,800,5
1000,20,10,3,2,4,mcmc,2000,4,800,5
1000,20,10,3,2,4,mcmc,500,1,200,5
1000,20,10,3,2,4,mcmc,500,1,200,6
1000,20,10,3,2,4,mcmc,500,1,200,7
1000,20,10,3,2,4,mcmc,500,2,200,5
1000,20,10,3,2,4,mcmc,500,2,200,6
1000,20,10,3,2,4,mcmc,500,2,200,7
1000,20,10,3,2,4,mcmc,500,4,200,5
1000,20,10,3,2,4,mcmc,500,4,200,6
1000,20,10,3,2,4,mcmc,500,4,200,7
1000,20,10,3,2,4,svi,1000,,,,1000
1000,20,10,3,2,4,svi,1000,,,,10000
1000,20,10,3,2,4,svi,1000,,,,2000
1000,20,10,3,2,4,svi,1000,,,,5000
